epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.664,1.37849,3.41381,1.56521,0.32299,0.13729,0.09441,0.05366,1.35056,3.28979,1.59604,0.000297491,0.000297491,0.000297491
2,22.1183,1.42141,2.40606,1.55616,0.15406,0.37238,0.17088,0.10318,1.53581,4.83406,1.76373,0.000588601,0.000588601,0.000588601
3,32.2565,1.41369,2.11356,1.54468,0.09773,0.45223,0.16101,0.10547,1.53892,9.02494,1.62894,0.000867713,0.000867713,0.000867713
4,42.2993,1.41404,2.08896,1.52302,0.10747,0.3866,0.14319,0.08112,1.73083,6.45121,1.85788,0.000855005,0.000855005,0.000855005
5,52.1013,1.38488,1.95412,1.51946,0.15476,0.49835,0.23859,0.16438,1.41389,5.66457,1.62147,0.000837007,0.000837007,0.000837007
6,61.7901,1.32256,1.84035,1.46523,0.17032,0.64502,0.24454,0.15531,1.46083,5.62477,1.63072,0.000819009,0.000819009,0.000819009
7,71.495,1.31367,1.78406,1.47275,0.18582,0.5671,0.2437,0.15124,1.52898,4.11406,1.65159,0.000801011,0.000801011,0.000801011
8,81.3907,1.3186,1.69417,1.44705,0.26106,0.50603,0.23302,0.16009,1.32643,4.72682,1.54231,0.000783013,0.000783013,0.000783013
9,91.2766,1.2912,1.62755,1.42549,0.18691,0.58762,0.22045,0.15193,1.45717,5.33715,1.59501,0.000765014,0.000765014,0.000765014
10,101.009,1.28764,1.57901,1.4141,0.19412,0.62647,0.27378,0.18205,1.43003,3.61574,1.54011,0.000747016,0.000747016,0.000747016
11,110.75,1.30091,1.53995,1.42078,0.21619,0.65105,0.2759,0.18884,1.42693,3.69783,1.54037,0.000729018,0.000729018,0.000729018
12,120.645,1.24904,1.46312,1.39036,0.17591,0.74397,0.24673,0.16249,1.31835,4.90825,1.50189,0.00071102,0.00071102,0.00071102
13,130.567,1.24734,1.43285,1.39324,0.20254,0.70896,0.29044,0.19893,1.30106,5.56299,1.43783,0.000693022,0.000693022,0.000693022
14,140.465,1.23259,1.37347,1.38669,0.18076,0.71562,0.26639,0.18635,1.3218,4.3041,1.43912,0.000675023,0.000675023,0.000675023
15,150.419,1.22497,1.37071,1.36869,0.21592,0.60119,0.29419,0.20129,1.29062,5.0126,1.44669,0.000657025,0.000657025,0.000657025
16,160.211,1.2048,1.33203,1.36177,0.17414,0.68306,0.26551,0.19385,1.31787,4.54213,1.4374,0.000639027,0.000639027,0.000639027
17,170.051,1.21159,1.29634,1.36502,0.18715,0.55481,0.29095,0.21797,1.2983,4.13601,1.43976,0.000621029,0.000621029,0.000621029
18,179.989,1.17122,1.23972,1.3224,0.1659,0.64688,0.25355,0.17834,1.36355,4.64163,1.52128,0.000603031,0.000603031,0.000603031
19,189.844,1.16285,1.1892,1.3239,0.14561,0.67965,0.19646,0.13127,1.33006,4.86028,1.55473,0.000585032,0.000585032,0.000585032
20,199.669,1.1594,1.17995,1.30657,0.17312,0.72779,0.24746,0.17083,1.31537,3.42706,1.42371,0.000567034,0.000567034,0.000567034
21,209.493,1.14206,1.16116,1.3029,0.17094,0.80616,0.27689,0.18551,1.35919,5.37306,1.46377,0.000549036,0.000549036,0.000549036
22,219.374,1.16175,1.15555,1.3257,0.17599,0.73507,0.26987,0.19215,1.33163,4.30751,1.46646,0.000531038,0.000531038,0.000531038
23,229.437,1.13845,1.14031,1.31033,0.14844,0.64255,0.23859,0.18019,1.3333,3.79612,1.51159,0.00051304,0.00051304,0.00051304
24,239.272,1.12082,1.11069,1.2881,0.20274,0.58689,0.24459,0.17265,1.38135,4.60733,1.50544,0.000495041,0.000495041,0.000495041
25,249.104,1.12001,1.11411,1.29405,0.17823,0.74242,0.27921,0.19591,1.32685,4.15962,1.48319,0.000477043,0.000477043,0.000477043
26,258.93,1.08831,1.07139,1.28065,0.17877,0.57699,0.26124,0.18734,1.28536,4.25518,1.44718,0.000459045,0.000459045,0.000459045
27,268.78,1.08867,1.04668,1.27068,0.18496,0.78783,0.26111,0.18716,1.32413,6.30322,1.47631,0.000441047,0.000441047,0.000441047
