epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7813,1.37892,3.60074,1.62539,0.61714,0.1199,0.11862,0.08009,1.30413,3.4187,1.5523,0.000297491,0.000297491,0.000297491
2,23.2788,1.36898,2.8114,1.57278,0.26247,0.30813,0.19317,0.11834,1.50396,4.33457,1.66796,0.000541042,0.000541042,0.000541042
3,33.3161,1.39243,2.61027,1.59533,0.38378,0.26724,0.15512,0.11022,1.4642,8.2155,1.70511,0.0007246,0.0007246,0.0007246
4,43.2168,1.38425,2.51805,1.58096,0.29405,0.43214,0.25514,0.17696,1.49933,7.23304,1.67694,0.000639027,0.000639027,0.000639027
5,53.0081,1.32238,2.27547,1.51322,0.38558,0.4209,0.28699,0.20142,1.4659,3.9126,1.61838,0.000549036,0.000549036,0.000549036
6,63.0139,1.3243,2.06308,1.48191,0.1477,0.63753,0.22684,0.15355,1.42779,4.99464,1.55878,0.000459045,0.000459045,0.000459045
7,72.8853,1.28097,2.03497,1.4475,0.2135,0.51447,0.27748,0.20292,1.31877,3.78078,1.50748,0.000369054,0.000369054,0.000369054
8,82.7962,1.23008,1.85834,1.39868,0.18859,0.62585,0.2498,0.18003,1.31825,4.02734,1.45808,0.000279063,0.000279063,0.000279063
9,92.8527,1.19581,1.76975,1.38252,0.21379,0.4577,0.2713,0.1972,1.28793,3.65004,1.44283,0.000189072,0.000189072,0.000189072
10,103.046,1.1431,1.60422,1.33755,0.17003,0.71027,0.23711,0.16946,1.28533,4.74625,1.45898,9.9081e-05,9.9081e-05,9.9081e-05
